uid,gps_avg_radius,extra,agrbl,consc,neuro,openn
01,-0.486,3.125,3.778,4.444,2.750,3.900
02,-0.365,2.125,3.000,4.222,3.500,3.200
03,-0.466,2.125,3.222,3.889,3.375,2.700
04,-0.467,2.375,3.111,2.667,4.125,2.900
05,-0.489,3.125,3.778,4.444,2.750,3.300
07,-0.486,3.125,4.222,3.778,2.143,2.300
08,-0.264,2.625,3.778,4.222,3.250,3.300
09,0.086,2.375,4.556,2.667,2.125,3.300
10,-0.487,2.000,1.333,4.778,3.375,3.600
14,-0.498,3.250,3.667,3.375,2.429,3.300
15,1.198,3.250,3.556,3.111,2.750,3.000
16,-0.496,1.750,3.333,3.556,4.250,3.800
17,-0.506,2.625,3.889,3.333,3.125,4.500
18,-0.020,2.625,2.222,3.222,3.750,2.500
19,-0.492,1.750,3.111,3.444,3.625,3.200
20,-0.509,3.875,4.333,3.333,2.375,3.600
22,-0.498,3.625,3.444,4.556,2.875,3.800
23,-0.513,3.000,3.667,3.000,3.750,3.600
24,-0.425,3.500,2.667,2.333,3.125,3.500
27,-0.507,2.500,3.889,2.667,3.125,3.300
30,3.068,4.500,4.111,4.444,2.000,3.600
32,0.046,4.250,4.222,4.333,1.750,3.700
33,-0.475,2.875,3.333,1.889,3.625,4.600
35,-0.376,2.625,3.889,3.556,2.625,3.400
43,0.225,2.375,4.111,4.222,2.500,3.300
46,-0.448,3.125,3.111,3.556,3.500,4.200
49,0.010,2.875,4.222,3.667,2.500,4.300
50,-0.510,3.875,3.333,3.556,2.500,3.500
52,-0.184,1.625,3.333,2.222,4.125,3.500
53,-0.492,2.250,4.000,2.889,4.500,4.400
54,1.348,3.000,3.333,3.111,2.750,3.100
57,3.451,2.125,4.000,3.222,2.125,2.700
58,-0.394,2.125,4.333,3.556,3.875,3.600
59,2.414,4.000,4.111,2.556,2.875,3.500
