uid,nearby_total_30days_oncampus_noclass,extra,agrbl,consc,neuro,openn
01,-1.136,3.125,3.778,4.444,2.750,3.900
02,0.075,2.125,3.000,4.222,3.500,3.200
03,-1.191,2.125,3.222,3.889,3.375,2.700
04,-0.103,2.375,3.111,2.667,4.125,2.900
05,-0.183,3.125,3.778,4.444,2.750,3.300
07,1.060,3.125,4.222,3.778,2.143,2.300
08,0.507,2.625,3.778,4.222,3.250,3.300
09,-0.418,2.375,4.556,2.667,2.125,3.300
10,1.812,2.000,1.333,4.778,3.375,3.600
14,0.804,3.250,3.667,3.375,2.429,3.300
15,-0.807,3.250,3.556,3.111,2.750,3.000
16,-0.718,1.750,3.333,3.556,4.250,3.800
17,-0.255,2.625,3.889,3.333,3.125,4.500
18,-0.244,2.625,2.222,3.222,3.750,2.500
19,-0.250,1.750,3.111,3.444,3.625,3.200
20,-0.267,3.875,4.333,3.333,2.375,3.600
22,-0.921,3.625,3.444,4.556,2.875,3.800
23,0.049,3.000,3.667,3.000,3.750,3.600
24,1.849,3.500,2.667,2.333,3.125,3.500
27,-0.798,2.500,3.889,2.667,3.125,3.300
30,0.479,4.500,4.111,4.444,2.000,3.600
32,-0.564,4.250,4.222,4.333,1.750,3.700
33,-0.140,2.875,3.333,1.889,3.625,4.600
35,0.320,2.625,3.889,3.556,2.625,3.400
43,-0.290,2.375,4.111,4.222,2.500,3.300
46,1.506,3.125,3.111,3.556,3.500,4.200
49,-1.398,2.875,4.222,3.667,2.500,4.300
50,2.911,3.875,3.333,3.556,2.500,3.500
52,-0.973,1.625,3.333,2.222,4.125,3.500
53,0.702,2.250,4.000,2.889,4.500,4.400
54,1.717,3.000,3.333,3.111,2.750,3.100
57,-0.228,2.125,4.000,3.222,2.125,2.700
58,-1.644,2.125,4.333,3.556,3.875,3.600
59,-0.103,4.000,4.111,2.556,2.875,3.500
