uid,end_time_var,extra,agrbl,consc,neuro,openn
01,-0.150,3.125,3.778,4.444,2.750,3.900
02,-0.607,2.125,3.000,4.222,3.500,3.200
03,-2.039,2.125,3.222,3.889,3.375,2.700
04,0.131,2.375,3.111,2.667,4.125,2.900
05,0.692,3.125,3.778,4.444,2.750,3.300
07,-0.048,3.125,4.222,3.778,2.143,2.300
08,1.311,2.625,3.778,4.222,3.250,3.300
09,-0.682,2.375,4.556,2.667,2.125,3.300
10,-1.586,2.000,1.333,4.778,3.375,3.600
14,0.686,3.250,3.667,3.375,2.429,3.300
15,-0.201,3.250,3.556,3.111,2.750,3.000
16,-1.159,1.750,3.333,3.556,4.250,3.800
17,-1.865,2.625,3.889,3.333,3.125,4.500
18,-0.124,2.625,2.222,3.222,3.750,2.500
19,0.919,1.750,3.111,3.444,3.625,3.200
20,0.522,3.875,4.333,3.333,2.375,3.600
22,0.325,3.625,3.444,4.556,2.875,3.800
23,-1.563,3.000,3.667,3.000,3.750,3.600
24,0.398,3.500,2.667,2.333,3.125,3.500
27,-1.138,2.500,3.889,2.667,3.125,3.300
30,1.229,4.500,4.111,4.444,2.000,3.600
32,1.484,4.250,4.222,4.333,1.750,3.700
33,1.098,2.875,3.333,1.889,3.625,4.600
35,0.886,2.625,3.889,3.556,2.625,3.400
43,-0.087,2.375,4.111,4.222,2.500,3.300
46,0.895,3.125,3.111,3.556,3.500,4.200
49,1.062,2.875,4.222,3.667,2.500,4.300
50,-0.656,3.875,3.333,3.556,2.500,3.500
52,-0.799,1.625,3.333,2.222,4.125,3.500
53,-1.214,2.250,4.000,2.889,4.500,4.400
54,0.476,3.000,3.333,3.111,2.750,3.100
57,1.036,2.125,4.000,3.222,2.125,2.700
58,-1.427,2.125,4.333,3.556,3.875,3.600
59,1.394,4.000,4.111,2.556,2.875,3.500
