uid,num_days_bluetooth,extra,agrbl,consc,neuro,openn
00,-0.228,3.750,2.889,3.000,3.125,4.500
01,0.284,3.125,3.778,4.444,2.750,3.900
02,1.001,2.125,3.000,4.222,3.500,3.200
03,-1.355,2.125,3.222,3.889,3.375,2.700
04,0.284,2.375,3.111,2.667,4.125,2.900
05,0.899,3.125,3.778,4.444,2.750,3.300
07,-0.638,3.125,4.222,3.778,2.143,2.300
08,0.796,2.625,3.778,4.222,3.250,3.300
09,0.592,2.375,4.556,2.667,2.125,3.300
10,1.001,2.000,1.333,4.778,3.375,3.600
12,1.104,2.875,3.556,3.667,2.875,3.400
13,0.592,3.375,3.556,2.444,3.375,4.300
14,0.387,3.250,3.667,3.375,2.429,3.300
15,-1.047,3.250,3.556,3.111,2.750,3.000
16,0.592,1.750,3.333,3.556,4.250,3.800
17,0.899,2.625,3.889,3.333,3.125,4.500
18,-1.150,2.625,2.222,3.222,3.750,2.500
19,1.104,1.750,3.111,3.444,3.625,3.200
20,-0.535,3.875,4.333,3.333,2.375,3.600
22,0.079,3.625,3.444,4.556,2.875,3.800
23,0.284,3.000,3.667,3.000,3.750,3.600
24,-2.379,3.500,2.667,2.333,3.125,3.500
27,1.001,2.500,3.889,2.667,3.125,3.300
30,0.694,4.500,4.111,4.444,2.000,3.600
31,-0.125,4.250,3.889,2.889,3.125,3.700
32,0.284,4.250,4.222,4.333,1.750,3.700
33,-0.842,2.875,3.333,1.889,3.625,4.600
34,-1.662,3.250,4.333,3.111,2.875,3.300
35,1.104,2.625,3.889,3.556,2.625,3.400
36,0.796,3.500,4.111,3.778,1.750,3.500
39,-3.198,3.375,3.333,3.111,3.000,3.500
42,-0.535,3.125,4.222,2.444,2.500,3.900
43,-0.023,2.375,4.111,4.222,2.500,3.300
44,-0.125,3.375,3.667,3.778,2.250,3.600
45,-1.150,3.750,3.667,3.444,3.125,3.700
46,-0.023,3.125,3.111,3.556,3.500,4.200
47,-0.638,4.375,3.222,3.444,2.000,3.800
49,0.079,2.875,4.222,3.667,2.500,4.300
50,-1.559,3.875,3.333,3.556,2.500,3.500
51,0.899,3.375,3.778,3.778,2.750,4.000
52,1.104,1.625,3.333,2.222,4.125,3.500
53,0.796,2.250,4.000,2.889,4.500,4.400
54,-1.355,3.000,3.333,3.111,2.750,3.100
56,0.489,1.625,4.111,3.333,2.000,4.100
57,1.104,2.125,4.000,3.222,2.125,2.700
58,0.899,2.125,4.333,3.556,3.875,3.600
59,0.796,4.000,4.111,2.556,2.875,3.500
